,id,year,month,day,tmax,tmin
0,MX17004,2010,1,d1,,
1,MX17004,2010,1,d10,,
2,MX17004,2010,1,d11,,
3,MX17004,2010,1,d12,,
4,MX17004,2010,1,d13,,
5,MX17004,2010,1,d14,,
6,MX17004,2010,1,d15,,
7,MX17004,2010,1,d16,,
8,MX17004,2010,1,d17,,
9,MX17004,2010,1,d18,,
10,MX17004,2010,1,d19,,
11,MX17004,2010,1,d2,,
12,MX17004,2010,1,d20,,
13,MX17004,2010,1,d21,,
14,MX17004,2010,1,d22,,
15,MX17004,2010,1,d23,,
16,MX17004,2010,1,d24,,
17,MX17004,2010,1,d25,,
18,MX17004,2010,1,d26,,
19,MX17004,2010,1,d27,,
20,MX17004,2010,1,d28,,
21,MX17004,2010,1,d29,,
22,MX17004,2010,1,d3,,
23,MX17004,2010,1,d30,27.8,14.5
24,MX17004,2010,1,d31,,
25,MX17004,2010,1,d4,,
26,MX17004,2010,1,d5,,
27,MX17004,2010,1,d6,,
28,MX17004,2010,1,d7,,
29,MX17004,2010,1,d8,,
30,MX17004,2010,1,d9,,
31,MX17004,2010,2,d1,,
32,MX17004,2010,2,d10,,
33,MX17004,2010,2,d11,29.7,13.4
34,MX17004,2010,2,d12,,
35,MX17004,2010,2,d13,,
36,MX17004,2010,2,d14,,
37,MX17004,2010,2,d15,,
38,MX17004,2010,2,d16,,
39,MX17004,2010,2,d17,,
40,MX17004,2010,2,d18,,
41,MX17004,2010,2,d19,,
42,MX17004,2010,2,d2,27.3,14.4
43,MX17004,2010,2,d20,,
44,MX17004,2010,2,d21,,
45,MX17004,2010,2,d22,,
46,MX17004,2010,2,d23,29.9,10.7
47,MX17004,2010,2,d24,,
48,MX17004,2010,2,d25,,
49,MX17004,2010,2,d26,,
50,MX17004,2010,2,d27,,
51,MX17004,2010,2,d28,,
52,MX17004,2010,2,d29,,
53,MX17004,2010,2,d3,24.1,14.4
54,MX17004,2010,2,d30,,
55,MX17004,2010,2,d31,,
56,MX17004,2010,2,d4,,
57,MX17004,2010,2,d5,,
58,MX17004,2010,2,d6,,
59,MX17004,2010,2,d7,,
60,MX17004,2010,2,d8,,
61,MX17004,2010,2,d9,,
62,MX17004,2010,3,d1,,
63,MX17004,2010,3,d10,34.5,16.8
64,MX17004,2010,3,d11,,
65,MX17004,2010,3,d12,,
66,MX17004,2010,3,d13,,
67,MX17004,2010,3,d14,,
68,MX17004,2010,3,d15,,
69,MX17004,2010,3,d16,31.1,17.6
70,MX17004,2010,3,d17,,
71,MX17004,2010,3,d18,,
72,MX17004,2010,3,d19,,
73,MX17004,2010,3,d2,,
74,MX17004,2010,3,d20,,
75,MX17004,2010,3,d21,,
76,MX17004,2010,3,d22,,
77,MX17004,2010,3,d23,,
78,MX17004,2010,3,d24,,
79,MX17004,2010,3,d25,,
80,MX17004,2010,3,d26,,
81,MX17004,2010,3,d27,,
82,MX17004,2010,3,d28,,
83,MX17004,2010,3,d29,,
84,MX17004,2010,3,d3,,
85,MX17004,2010,3,d30,,
86,MX17004,2010,3,d31,,
87,MX17004,2010,3,d4,,
88,MX17004,2010,3,d5,32.1,14.2
89,MX17004,2010,3,d6,,
